ID;Producto;Precio;Categorias_propuestas;NumFotos;FotoPrincipal;TodasLasFotos;Problemas
1;Huchas Cajas Fuertes;€20.00;Especial primera comunión, Nuestros peques, Regalos únicos;4;huchas_caja_fuerte.jpg;huchas_caja_fuerte.jpg | huchas_caja_fuerte2.jpg | huchas_caja_fuerte3.jpg | huchas_caja_fuerte4.jpg;prefijo corregido
2;Rodaja de madera con foto;€35.00;Regalos con foto, Pasión por la madera;2;Rodaja_madera.jpg;Rodaja_madera.jpg | Rodaja_de_madera_con_foto_1.jpg;
3;Árbol de la Vida;€35.00;Pasión por la madera, Regalos únicos, Vivan los novios;1;arbol_madera.jpg;arbol_madera.jpg;
4;Villa De Madera;€50.00;Pasión por la madera, Regalos únicos, Novedades;2;villa_madera.jpg;villa_madera.jpg | villa_madera_2.jpg;
5;Cajas de vino (2 huecos);€45.00;Pasión por el vino;4;cajas_vino1.jpg;cajas_vino1.jpg | cajas_vino2.jpg | cajas_vino3.jpg | cajas_vino4.jpg;
6;Guitarra porta púas;€20.00;Regalos únicos, Pasión por la madera;2;guitarra1.jpg;guitarra1.jpg | guitarra2.jpg;
7;Porta cables;€8.00;Regalos únicos, Novedades;1;porta_cables.jpg;porta_cables.jpg;
8;Abanicos personalizados;€35.00;Regalos con foto, Regalos únicos;3;abanicos_1.jpg;abanicos_1.jpg | abanicos_2.jpg | abanicos_3.jpg;
9;Funkos de Madera;€37.00;Pasión por la madera, Regalos únicos, Novedades, Nuestros peques;3;funkos.jpg;funkos.jpg | funko2.jpg | funko3.jpg;prefijo corregido
10;Corazón de madera;€30.00;Pasión por la madera, Vivan los novios;2;corazon_madera.jpg;corazon_madera.jpg | corazon_madera2.jpg;prefijo corregido
11;Perchas Personalizadas;€15.00;Especial primera comunión, Nuestros peques;1;perchas.jpg;perchas.jpg;
12;Joyero de viaje Corazón;€12.00;Regalos únicos;2;Joyero_de_viaje_Corazon_1.jpg;Joyero_de_viaje_Corazon_1.jpg | Joyero_de_viaje_Corazon_2.jpg;prefijo corregido
13;Joyero de viaje doble;€15.00;Regalos únicos;1;joyero_viaje_doble.jpg;joyero_viaje_doble.jpg;
14;Joyero de viaje;€10.00;Regalos únicos;3;Joyero_de_viaje_1.jpg;Joyero_de_viaje_1.jpg | joyero_viaje_2.jpg | joyero_viaje_3.jpg;
15;Cepillos de madera grabados;€12.00;Pasión por la madera, Detalles con magia;6;cepillos_madera.jpg;cepillos_madera.jpg | Cepillos_de_madera_grabados_1.jpg | Cepillos_de_madera_grabados_2.jpg | cepillos_madera_2.jpg | Cepillos_de_madera_grabados_3.jpg | cepillos_madera_3.jpg;
16;Tabla de Madera para quesos;€12.00;Pasión por la madera, Pasión por el vino, Regalos únicos;1;tablero.jpg;tablero.jpg;
17;Noria blanca;€40.00;Regalos con foto, Especial primera comunión, Nuestros peques;2;noria_blanca_1.jpg;noria_blanca_1.jpg | noria_blanca_2.jpg;
18;Medalleros personalizados;€35.00;Regalos únicos, Nuestros peques;4;medallero_personlizado.jpg;medallero_personlizado.jpg | medallero_personlizado_2.jpg | medallero_personlizado_3.jpg | medallero_personlizado_4.jpg;
19;Caja libro;€35.00;Pasión por la madera, Regalos con foto;5;caja_libro.jpg;caja_libro.jpg | caja_libro_1.jpg | caja_libro_2.jpg | caja_libro_3.jpg | caja_libro_4.jpg;
20;Huchas de Ahorro personalizadas;€25.00;Regalos únicos, Detalles con magia;3;huchas_ahorro_persdonalizado.jpg;huchas_ahorro_persdonalizado.jpg | huchas_ahorro_persdonalizado2.jpg | huchas_ahorro_persdonalizado3.jpg;
21;Caja de madera Somelier;€45.00;Pasión por el vino, Regalos únicos;2;caja_madera_somelier.jpg;caja_madera_somelier.jpg | caja_madera_somelier2.jpg;
22;Abridores de botellas;€6.00;Detalles con magia, Maestros cerveceros;4;abridores_botellas.jpg;abridores_botellas.jpg | abridores_botellas2.jpg | abridores_botellas3.jpg | abridores_botellas4.jpg;
23;Porta alianzas corazón;€30.00;Vivan los novios;2;porta_alianzas_corazon.jpg;porta_alianzas_corazon.jpg | porta_alianzas_corazon2.jpg;
24;Ritual de la Arena;€35.00;Vivan los novios;1;Ritual_Arena.jpg;Ritual_Arena.jpg;
25;Porta Alianzas;€35.00;Vivan los novios, Pasión por la madera;2;Porta_Alianzas.jpg;Porta_Alianzas.jpg | Porta_Alianzas2.jpg;
26;Caja de madera con Cava;€55.00;Somos de cava, Vivan los novios;1;Caja_Madera_Con_Cava.jpg;Caja_Madera_Con_Cava.jpg;
27;Juego de copas de cava para Novios;€35.00;Somos de cava, Vivan los novios;2;Juego_Copas_Cava_Novios.jpg;Juego_Copas_Cava_Novios.jpg | Juego_Copas_Cava_Novios2.jpg;
28;Bodys Bebé;€15.00;Nuestros peques;4;bodys_bebe.jpg;bodys_bebe.jpg | bodys_bebe2.jpg | bodys_bebe3.jpg | bodys_bebe4.jpg;prefijo corregido
29;Azulejo serigrafiado;€30.00;Regalos con foto, Novedades;1;azulejo_serigrafiado.jpg;azulejo_serigrafiado.jpg;
30;Pen Drive;€18.00;Regalos con foto, Novedades, Detalles con magia;4;pen_drive.jpg;pen_drive.jpg | pen_drive2.jpg | pen_drive3.jpg | pen_drive4.jpg;
31;Tabla de madera;€35.00;Pasión por la madera, Pasión por el vino, Maestros cerveceros;3;tabla_de_madera.jpg;tabla_de_madera.jpg | tabla_de_madera2.jpg | tabla_de_madera3.jpg;
